logged_at,strategy,direction,requested_risk_percent,approved,rejection_reason,final_risk_percent,final_lot_estimate,legacy_would_approve,legacy_risk_percent,risk_trimmed,risk_percent_saved
2026-07-17T03:55:14.013155+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T03:56:14.471772+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T04:54:27.346264+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T04:55:27.917427+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T04:56:28.313206+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T04:57:28.714899+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T04:58:29.179852+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T04:59:29.573017+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T05:00:29.933959+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:01:30.331892+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:02:30.865142+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:03:31.249227+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:04:31.632535+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:05:32.037490+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:06:32.632187+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:07:33.411035+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:08:33.924525+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:09:34.518568+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:10:34.892163+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:11:35.265749+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:12:35.682940+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:13:36.176219+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:14:36.631236+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:16:38.681358+00:00,SMC,SELL,1.5,True,,0.75,0.07,True,1.5,True,0.75
2026-07-17T05:16:39.298817+00:00,MICRO,SELL,1.35,True,,0.75,0.07,True,1.35,True,0.6
2026-07-17T05:19:41.770016+00:00,MICRO,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T05:20:42.314005+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:21:42.666351+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:22:43.072486+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:23:43.494554+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:24:43.892372+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:25:44.257954+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:26:44.636937+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:27:45.039181+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:28:45.408335+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:29:45.880193+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:30:46.256544+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:31:46.662760+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:32:47.076169+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:33:47.490950+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:34:47.942926+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:35:48.350378+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:36:48.703244+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:37:49.252436+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:38:49.655881+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:39:50.118665+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:40:50.514006+00:00,SMC,SELL,1.5,True,,0.75,0.07,True,1.5,True,0.75
2026-07-17T05:44:52.502509+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:45:52.835118+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:46:53.259398+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:47:53.746859+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T05:57:54.949362+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
