ticket,strategy,symbol,type,volume,profit,open_price,close_price,open_time,close_time,comment,raw_magic,canonical_magic,build_id
57485487083,MICRO,XAUUSD,BUY,0.02,24.46,4243.6,4231.37,2026-08-05T19:06:07+00:00,2026-08-05T19:06:07+00:00,[sl 4231.37],5001,5001,FER3ON-FINAL-build1
57485627352,MANUAL,XAUUSD,SELL,0.01,-0.28,4233.07,4232.79,2026-08-05T19:11:35+00:00,2026-08-05T19:11:35+00:00,,0,0,FER3ON-FINAL-build1
57486232420,SMC,XAUUSD,SELL,0.01,10.71,4232.49,4243.2,2026-08-05T19:46:06+00:00,2026-08-05T19:46:06+00:00,[sl 4243.20],4001,4001,FER3ON-FINAL-build1
57487933252,SMC,XAUUSD,SELL,0.01,16.39,4241.59,4257.98,2026-08-05T21:33:17+00:00,2026-08-05T21:33:17+00:00,[sl 4257.98],4001,4001,FER3ON-FINAL-build1
57489872074,MICRO,XAUUSD,SELL,0.02,42.0,4253.03,4274.03,2026-08-06T02:36:42+00:00,2026-08-06T02:36:42+00:00,[sl 4274.03],5001,5001,FER3ON-FINAL-build1
57489995371,SMC,XAUUSD,SELL,0.01,17.57,4257.58,4275.15,2026-08-06T02:45:27+00:00,2026-08-06T02:45:27+00:00,[sl 4275.15],4001,4001,FER3ON-FINAL-build1
57490521607,SMC,XAUUSD,SELL,0.02,1.0,4275.16,4275.66,2026-08-06T03:28:27+00:00,2026-08-06T03:28:27+00:00,[sl 4275.66],4001,4001,FER3ON-FINAL-build1
57493892632,MICRO,XAUUSD,SELL,0.02,-60.12,4280.44,4250.38,2026-08-06T08:30:02+00:00,2026-08-06T08:30:02+00:00,[sl 4250.38],5001,5001,FER3ON-FINAL-build1
57494612339,MANUAL,XAUUSD,SELL,0.02,-11.84,4261.0,4255.08,2026-08-06T09:18:31+00:00,2026-08-06T09:18:31+00:00,,0,0,FER3ON-FINAL-build1
57496375545,MANUAL,XAUUSD,SELL,0.02,13.72,4262.04,4268.9,2026-08-06T11:18:50+00:00,2026-08-06T11:18:50+00:00,,0,0,FER3ON-FINAL-build1
57497706310,MANUAL,XAUUSD,SELL,0.01,0.69,4274.47,4275.16,2026-08-06T12:42:18+00:00,2026-08-06T12:42:18+00:00,,0,0,FER3ON-FINAL-build1
57498215654,MANUAL,XAUUSD,BUY,0.02,13.56,4275.27,4268.49,2026-08-06T13:17:52+00:00,2026-08-06T13:17:52+00:00,,0,0,FER3ON-FINAL-build1
57501717624,MICRO,XAUUSD,BUY,0.01,35.02,4268.84,4233.82,2026-08-06T16:09:29+00:00,2026-08-06T16:09:29+00:00,,5001,5001,FER3ON-FINAL-build1
57502561663,MICRO,XAUUSD,BUY,0.02,-60.38,4233.4,4263.59,2026-08-06T16:38:40+00:00,2026-08-06T16:38:40+00:00,[sl 4263.59],5001,5001,FER3ON-FINAL-build1
57505863623,MICRO,XAUUSD,SELL,0.02,-60.16,4265.29,4235.21,2026-08-06T18:54:53+00:00,2026-08-06T18:54:53+00:00,[sl 4235.21],5001,5001,FER3ON-FINAL-build1
57505867078,SMC,XAUUSD,SELL,0.03,-91.56,4264.85,4234.33,2026-08-06T18:54:56+00:00,2026-08-06T18:54:56+00:00,[sl 4234.33],4001,4001,FER3ON-FINAL-build1
57510077194,MICRO,XAUUSD,SELL,0.02,21.96,4229.32,4240.3,2026-08-07T02:00:05+00:00,2026-08-07T02:00:05+00:00,,0,0,FER3ON-FINAL-build1
57510367853,SMC,XAUUSD,SELL,0.02,30.32,4234.02,4249.18,2026-08-07T03:00:32+00:00,2026-08-07T03:00:32+00:00,[sl 4249.18],4001,4001,FER3ON-FINAL-build1
57510472543,SMC,XAUUSD,SELL,0.02,-10.42,4249.46,4244.25,2026-08-07T03:15:24+00:00,2026-08-07T03:15:24+00:00,,0,0,FER3ON-FINAL-build1
57510563213,SMC,XAUUSD,BUY,0.01,2.2,4244.39,4242.19,2026-08-07T03:27:48+00:00,2026-08-07T03:27:48+00:00,,0,0,FER3ON-FINAL-build1
57511772176,MICRO,XAUUSD,BUY,0.01,-6.41,4241.95,4248.36,2026-08-07T05:46:27+00:00,2026-08-07T05:46:27+00:00,,0,0,FER3ON-FINAL-build1
57512994335,SMC,XAUUSD,BUY,0.01,-30.08,4240.64,4270.72,2026-08-07T08:11:03+00:00,2026-08-07T08:11:03+00:00,[sl 4270.72],4001,4001,FER3ON-FINAL-build1
57513378599,MANUAL,XAUUSD,BUY,0.1,3.3,4272.89,4272.56,2026-08-07T08:41:06+00:00,2026-08-07T08:41:06+00:00,,0,0,FER3ON-FINAL-build1
57513440509,MANUAL,XAUUSD,SELL,0.1,6.7,4273.01,4273.68,2026-08-07T08:47:09+00:00,2026-08-07T08:47:09+00:00,,0,0,FER3ON-FINAL-build1
